8190           8190WF9814E           SX518196SX91000000015.000                    20171211MB1B                9I9    
8190           8190WF9814E           SX518195SX91000000015.000                    20171211MB1B                9I8    
8190           8190WF9814E           SX518194SX91000000015.000                    20171211MB1B                9I7    
8190           8190WF9814E           SX518193SX91000000015.000                    20171211MB1B                9I6    
8190           8190WF9814E           SX518191SX91000000015.000                    20171211MB1B                9I4    
8190           8190ZY13600           VN518190VN91000000006.000                    20171211MB1B                9I4    
8190           8190ZZ31860           CLB98190CL91000000030.000                    20171211MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190WK0460A           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZZ31860           CLB98190CL91000000030.000                    20171211MB1B                9I3    
8190           8190WK0460A           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZZ31860           CLB98190CL91000000030.000                    20171211MB1B                9I3    
8190           8190ZZ31860           CLB98190CL91000000030.000                    20171211MB1B                9I3    
8190           8190WK0460A           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZZ31860           CLB98190CL91000000030.000                    20171211MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171211MB1B                9I3    
