8190           8190ZT97850           CL218190CL51000000006.000                    20171206MB1B                9I4    
8190           8190ZF37260           SXA28190SX21000000020.000                    20171218MB1B                9I4    
8190           8190ZQ95140           SX518190SX91000000025.000                    20171218MB1B                9I4    
8190           8190ZT97850           CL218190CL51000000005.000                    20171213MB1B                9I4    
8190           8190W938310           SX518190SX91000000018.000                    20171208MB1B                9I4    
8190           8190ZY85690           SX518190SX91000000005.000                    20171214MB1B                9I4    
8190           8190ZP63820           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ93870           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP64510           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZT43210           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZT43210           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZR01340           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ96240           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZY85462           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
