8190           8190ZU02430           FL218190FL51000000004.000                    20180112MB1B                9I4    
8190           8190ZU28440           CL518190CL91000000004.000                    20180110MB1B                9I4    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180113MB1B                9I4    
8190           8190ZP67340           SXA08190SX21000000028.000                    20180113MB1B                9I4    
8190           8190ZP67340           SXA08190SX21000000028.000                    20180113MB1B                9I4    
8190           8190ZP65190           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65180           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65180           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65170           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65170           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65160           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65160           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65120           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65100           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64390           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65200           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65200           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65200           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP66770           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP66820           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65080           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180113MB1B                9I3    
8190           8190ZP67310           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP67170           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP65200           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64390           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64380           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64370           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64370           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64360           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64360           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64360           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64330           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64330           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64310           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP64300           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP67300           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20180113MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20180113MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20180113MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67300           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67120           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZG24240           CL518190CLB9000000180.000                    20180113MB1B                9I3    
8190           8190ZP67090           SXA08190SX21000000100.000                    20180113MB1B                9I3    
8190           8190ZP67090           SXA08190SX21000000100.000                    20180113MB1B                9I3    
8190           8190ZP67090           SXA08190SX21000000100.000                    20180113MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63840           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63840           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180113MB1B                9I3    
