8190           8190ZK13360           SX218190SX51000000002.000                    20180215MB1B                9I4    
8190           8190ZA1494C           SX218190SX51000000001.000                    20180215MB1B                9I4    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180216MB1B                9I3    
