8190           8190WZ91400           SXA18190SX21000000005.000                    20180609MB1B                9I4    
8190           8190WZ91830           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86610           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86610           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ89030           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ89030           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ89030           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ85050           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86610           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ94830           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ94830           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95080           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95080           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ95140           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20180609MB1B                9I3    
