8190           8190VAY1350           CLB98191FSTK000000050.000                    20180626MB1B                9P1    
8190           8190ZG1270A           SX518190SX91000000033.000                    20180626MB1B                9I4    
8190           8190ZU24050           FLA18190FL51000000037.000                    20180626MB1B                9I4    
8190           8190ZT43850           FL218190FA1R000000030.000                    20180606MB1B                9I4    
8190           8190ZR01740           SX518190SX91000000013.000                    20180626MB1B                9I4    
8190           8190ZQ99330           SX518190SX91000000001.000                    20180626MB1B                9I4    
8190           8190ZY84700           SX518190SX91000000012.000                    20180626MB1B                9I4    
8190           8190W936470           SX518190SX91000000001.000                    20180625MB1B                9I4    
8190           8190W93548E           SX518190SX91000000018.000                    20180611MB1B                9I4    
8190           8190ZA1493C           SX218190SX51000000001.000                    20180626MB1B                9I3    
8190           8190ZG1270A           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190ZG1270A           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190ZQ91460           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190ZG1270A           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190WZ2236A           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZR01740           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZG1270A           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZF65890           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZT97850           CL218190CL51000000020.000                    20180607MB1B                9I3    
8190           8190ZG1270A           SX518190SX91000000015.000                    20180625MB1B                9I3    
8190           8190ZQ91460           SX518190SX91000000015.000                    20180625MB1B                9I3    
8190           8190ZS06150           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190ZS06150           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZQ91280           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190ZQ91280           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190ZQ91280           SX518190SX91000000015.000                    20180626MB1B                9I3    
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    
8190           8190ZY84700           SX518190SX91000000010.000                    20180626MB1B                9I3    
8190           8190ZG1270A           SX518190SX91000000015.000                    20180625MB1B                9I3    
8190           8190ZF65890           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZR01840           SX218190SX51000000008.000                    20180625MB1B                9I3    
8190           8190ZG1270A           SX518190SX91000000015.000                    20180625MB1B                9I3    
8190           8190ZG1270A           SX518190SX91000000015.000                    20180625MB1B                9I3    
