8190           8190ZU03090           FL218190FA0R000000054.000                    20180702MB1B                9I4    
8190           8190ZP63090           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP66800           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP62950           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP62920           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP62920           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP62890           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP62870           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20180707MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20180707MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP68030           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67310           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67310           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67310           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20180707MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20180707MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180707MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180707MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180707MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180707MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180707MB1B                9I3    
