8190           8190ZC7636H           SX218190SX51000000001.000                    20180810MB1B                9I4    
8190           8190VAS1330           SXA08190SX21000000060.000                    20180811MB1B                9I3    
8190           8190ZZ42370           SX518190SX91000000010.000                    20180806MB1B                9I3    
8190           8190VAS1330           SXA08190SX21000000060.000                    20180811MB1B                9I3    
8190           8190VAS1330           SXA08190SX21000000060.000                    20180811MB1B                9I3    
8190           8190VAS1330           SXA08190SX21000000060.000                    20180811MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180811MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180811MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZQ90480           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZR23680           CLA08190CL21000000020.000                    20180811MB1B                9I3    
8190           8190ZR23680           CLA08190CL21000000020.000                    20180811MB1B                9I3    
8190           8190ZQ90570           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20180811MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20180811MB1B                9I3    
8190           8190ZQ90570           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180810MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180810MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180809MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190ZP65140           FLA08190FL91000000120.000                    20180810MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180810MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180810MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180811MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180811MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180811MB1B                9I3    
