8190           8190WF9195A           CL518190CL91000000015.000                    20180824MB1B                9I4    
8190           8190VAZ0190           SX518190SX91000000010.000                    20180821MB1B                9I4    
8190           8190ZG1270A           SX518190SX91000000014.000                    20180823MB1B                9I4    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180810MB1B                9I4    
8190           8190WZ9184C           SX218190SA1R000000004.000                    20180820MB1B                9I4    
8190           8190ZA14780           SX518190SX91000000002.000                    20180823MB1B                9I4    
8190           8190VAR9940           SX518190SX91000000115.000                    20180821MB1B                9I4    
8190           8190ZQ89210           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZY85340           SX218190SX51000000010.000                    20180825MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZZ32800           SX218190SX51000000010.000                    20180825MB1B                9I3    
8190           8190ZY85650           SX218190SX51000000010.000                    20180825MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86610           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86610           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86440           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86440           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZQ86440           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20180825MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
8190           8190ZU24290           FL518190FL91000000005.000                    20180825MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180825MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180825MB1B                9I3    
