8190           8190ZU24080           FLA18190FL51000000041.000                    20180907MB1B                9I4    
8190           8190ZA14780           SX518190SX91000000003.000                    20180903MB1B                9I4    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180908MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180908MB1B                9I3    
8190           8190ZU02650           FL218190FL51000000020.000                    20180908MB1B                9I3    
8190           8190ZU02650           FL218190FL51000000020.000                    20180908MB1B                9I3    
8190           8190ZU03250           FL218190FL51000000020.000                    20180908MB1B                9I3    
8190           8190ZU03250           FL218190FL51000000020.000                    20180908MB1B                9I3    
8190           8190ZU03250           FL218190FL51000000020.000                    20180908MB1B                9I3    
8190           8190ZU03210           FL218190FL51000000020.000                    20180908MB1B                9I3    
