8190           8190ZT96950           CL518190LA0R000000001.000                    20180910MB1B                9I4    
8190           8190ZU24080           FLA18190FL51000000041.000                    20180907MB1B                9I4    
8190           8190ZA14780           SX518190SX91000000003.000                    20180903MB1B                9I4    
8190           8190ZP63950           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63950           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63530           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63530           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63930           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63930           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63930           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63250           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZP62920           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP62920           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63000           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63000           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63000           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63070           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63150           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63150           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63170           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63170           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63230           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP66970           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP66970           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP67390           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64550           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64550           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64580           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64680           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64600           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64600           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64610           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64610           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64620           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64620           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64670           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66970           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP66940           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP66940           SXA08190SX21000000030.000                    20180911MB1B                9I3    
