8190           8190ZW90930           FLT98191FSTK000000200.000                    20180919MB1B                9P1    
8190           8190ZY13600           VN518190VN91000000016.000                    20180919MB1B                9I4    
8190           8190ZP63980           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63690           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63690           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63740           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63740           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP67930           CLA08190CLB9000000040.000                    20180919MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180919MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180919MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20180919MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20180919MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61810           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61840           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61840           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20180919MB1B                9I3    
