8190           8190ZX72490           CLB98191FSTK000000090.000                    20180924MB1B                9P1    
8190           8190ZU02430           FL218190FA1R000000014.000                    20180920MB1B                9I4    
8190           8190ZA14780           SX518190SX91000000003.000                    20180903MB1B                9I4    
8190           8190W93543B           SX518190SX91000000008.000                    20180924MB1B                9I4    
8190           8190ZQ98440           SX518190SA0R000000029.000                    20180920MB1B                9I4    
8190           8190ZQ99540           SX518190SX91000000003.000                    20180919MB1B                9I4    
8190           8190WF9195C           CL218190CL51000000001.000                    20180920MB1B                9I4    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180924MB1B                9I4    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZU49330           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
