8190           8190WF9195C           CL218190CL51000000001.000                    20180920MB1B                9I4    
8190           8190ZT42920           SX518190SX91000000014.000                    20180926MB1B                9I4    
8190           8190ZU24320           FL218190FL51000000013.000                    20180926MB1B                9I4    
8190           8190ZU24050           FLA18190FL51000000010.000                    20180925MB1B                9I4    
8190           8190ZY85890           SX518190SX91000000012.000                    20180925MB1B                9I4    
8190           8190ZY85450           SX518190SX91000000020.000                    20180925MB1B                9I4    
8190           8190ZA14780           SX518190SX91000000003.000                    20180903MB1B                9I4    
8190           8190ZU02430           FL218190FA1R000000014.000                    20180920MB1B                9I4    
8190           8190ZQ99540           SX518190SX91000000003.000                    20180919MB1B                9I4    
8190           8190ZQ98440           SX518190SA0R000000029.000                    20180920MB1B                9I4    
8190           8190W60549A           SX518190SX91000000006.000                    20180925MB1B                9I4    
8190           8190ZC7633A           SX518190SX91000000001.000                    20180926MB1B                9I4    
8190           8190ZQ95140           SX518190SX91000000014.000                    20180926MB1B                9I4    
8190           8190W61994A           SX518190SX91000000003.000                    20180926MB1B                9I4    
8190           8190WZ91390           SX518190SX91000000001.000                    20180926MB1B                9I4    
8190           8190ZT44020           FLA18190FL51000000090.000                    20180926MB1B                9I4    
8190           8190ZP62150           CLA08190CL21000000040.000                    20180926MB1B                9I4    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180926MB1B                9I4    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180926MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180926MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180926MB1B                9I3    
8190           8190WZ70060           SX218190SX51000000005.000                    20180926MB1B                9I3    
8190           8190WZ70060           SX218190SX51000000005.000                    20180926MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180926MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66460           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66460           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66870           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66870           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66640           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61810           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61810           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61510           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61510           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61510           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP61770           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180926MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180926MB1B                9I3    
8190           8190W59455F           SXA08190SX51000000050.000                    20180926MB1B                9I3    
8190           8190ZP61470           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61470           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61470           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP64240           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP61770           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61770           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20180926MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20180926MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20180926MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20180926MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20180926MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20180926MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20180926MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180926MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180926MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180926MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180924MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180924MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP61760           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZP61760           CLA08190CL21000000040.000                    20180926MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180926MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180926MB1B                9I3    
