8190           8190ZP62190           CLA08190CL21000000040.000                    20181004MB1B                9I4    
8190           8190ZP62840           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181004MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181004MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181004MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181004MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181004MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181004MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181004MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20181004MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20181004MB1B                9I3    
