8190           8190ZW90880           SXA08191FSTK000000180.000                    20181010MB1B                9P2    
8190           8190VCM6210           SXA18191FSTK000000020.000                    20181010MB1B                9P1    
8190           8190VCM6210           SXA18191FSTK000000020.000                    20181010MB1B                9P1    
8190           8190VCM6210           SXA18191FSTK000000020.000                    20181010MB1B                9P1    
8190           8190VCM6210           SXA18191FSTK000000020.000                    20181010MB1B                9P1    
8190           8190VCM6230           SXA18191FSTK000000020.000                    20181010MB1B                9P1    
8190           8190VCM6230           SXA18191FSTK000000020.000                    20181010MB1B                9P1    
8190           8190VCM6230           SXA18191FSTK000000020.000                    20181010MB1B                9P1    
8190           8190VCM6230           SXA18191FSTK000000020.000                    20181010MB1B                9P1    
8190           8190ZV17740           SXA18191FSTK000000040.000                    20181010MB1B                9P1    
8190           8190ZV17750           SXA18191FSTK000000040.000                    20181010MB1B                9P1    
8190           8190ZP63610           SXA08190SX21000000030.000                    20181010MB1B                9I4    
8190           8190WZ91370           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190WZ91100           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181010MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP63690           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63690           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61810           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190WZ9137C           SX218190SX51000000001.000                    20181010MB1B                9I3    
8190           8190ZP61850           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190WZ9137C           SX218190SX51000000001.000                    20181010MB1B                9I3    
8190           8190ZP61870           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61770           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61530           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61470           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61510           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61510           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20181010MB1B                9I3    
8190           8190ZP61560           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190WZ9137C           SX218190SX51000000001.000                    20181010MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63440           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190W53414A           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP67320           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63480           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP66640           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66640           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66640           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP67540           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP67540           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66460           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66460           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66460           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66480           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66480           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66540           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66580           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67210           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67210           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67210           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67210           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP66540           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP64640           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP64660           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZP64690           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP64850           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190ZP66410           SXA08190SX21000000016.000                    20181010MB1B                9I3    
8190           8190W93548C           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190W61674A           SX518190SX91000000008.000                    20181010MB1B                9I3    
8190           8190W61675A           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190W93547C           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190W59678A           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181010MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181010MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP64150           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63740           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64240           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190W16669E           SX518190SX91000000010.000                    20181010MB1B                9I3    
8190           8190ZP67160           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20181010MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20181010MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZY84960           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZY85380           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZY85860           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181010MB1B                9I3    
8190           8190ZY85650           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZZ32270           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZZ32630           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZZ32580           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZY84680           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZY84810           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZZ32770           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZY85230           SX218190SX51000000010.000                    20181010MB1B                9I3    
8190           8190ZZ32890           SX218190SX51000000010.000                    20181010MB1B                9I3    
