8190           8190ZT45920           FL518190FA0R000000060.000                    20181105MB1B                9I4    
8190           8190ZT44730           FL518190FA0R000000182.000                    20181105MB1B                9I4    
8190           8190ZP62690           FLA08190FL21000000040.000                    20181105MB1B                9I4    
8190           8190ZR01500           SX518190SX91000000039.000                    20181029MB1B                9I4    
8190           8190ZR02440           SX518190SX91000000005.000                    20181105MB1B                9I4    
8190           8190ZR02120           SX518190SX91000000023.000                    20181029MB1B                9I4    
8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    
8190           8190ZR01500           SX518190SX91000000001.000                    20181031MB1B                9I4    
8190           8190ZR01500           SX518190SX91000000003.000                    20181031MB1B                9I4    
8190           8190ZR01110           SX518190SX91000000054.000                    20181029MB1B                9I4    
8190           8190ZF37320           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37320           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37330           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37330           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37330           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZP62640           FLA08190FL21000000600.000                    20181105MB1B                9I3    
8190           8190ZP63140           FLA08190FL21000000120.000                    20181105MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZP63140           FLA08190FL21000000120.000                    20181105MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181105MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20181105MB1B                9I3    
