8190           8190W587871           SXA08191FSTK000000210.000                    20181106MB1B                9P1    
8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    
8190           8190ZR01500           SX518190SX91000000039.000                    20181101MB1B                9I4    
8190           8190ZR01110           SX518190SX91000000054.000                    20181101MB1B                9I4    
8190           8190ZR02120           SX518190SX91000000023.000                    20181101MB1B                9I4    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP64280           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP67320           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZP67320           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZP67320           SXA08190SX21000000016.000                    20181107MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61870           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61870           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61510           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61510           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP64150           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61840           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20181107MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20181107MB1B                9I3    
