8190           8190VCQ1180           SXT98191FSTK000000029.000                    20181108MB1B                9P1    
8190           8190ZR01500           SX518190SX91000000039.000                    20181101MB1B                9I4    
8190           8190ZR02440           SX518190SX91000000006.000                    20181108MB1B                9I4    
8190           8190ZR00890           SX518190SX91000000015.000                    20181108MB1B                9I4    
8190           8190ZR01110           SX518190SX91000000054.000                    20181101MB1B                9I4    
8190           8190ZR02120           SX518190SX91000000023.000                    20181101MB1B                9I4    
8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    
8190           8190ZP63250           SXA08190SX21000000030.000                    20181108MB1B                9I4    
8190           8190ZP63250           SXA08190SX21000000030.000                    20181108MB1B                9I4    
8190           8190ZP63250           SXA08190SX21000000030.000                    20181108MB1B                9I4    
8190           8190ZP63250           SXA08190SX21000000030.000                    20181108MB1B                9I4    
8190           8190WZ9137C           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZP63070           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZP63110           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZP63250           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63130           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190WZ9137C           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZP63230           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190WZ9137C           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZP63070           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63070           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63880           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66800           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65020           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65020           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP65040           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65040           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP63880           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62870           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63000           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63000           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62920           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62920           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62890           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62870           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62870           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181108MB1B                9I3    
8190           8190WY75770           CL218190CL51000000020.000                    20181108MB1B                9I3    
8190           8190VAS1240           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190VAS1240           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20181108MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20181108MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZP63400           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20181108MB1B                9I3    
