8190           8190ZQ94850           SX518190SX91000000010.000                    20181116MB1B                9I4    
8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181116MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181116MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181116MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181116MB1B                9I3    
8190           8190VAZ0190           SX518190SX91000000020.000                    20181109MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181115MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181115MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181114MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20181113MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20181116MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20181116MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20181116MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20181116MB1B                9I3    
8190           8190ZP66520           SXA08190SX21000000016.000                    20181116MB1B                9I3    
