8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    
8190           8190ZQ94850           SX518190SX91000000010.000                    20181116MB1B                9I4    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94630           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZT26120           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZV28530           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZV28530           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZV28530           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZV28530           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZV28530           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZV28530           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ87200           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ98090           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98090           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98250           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98250           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98320           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98320           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ98090           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZR01470           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86960           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86740           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20181120MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZY85200           SX518190SX91000000010.000                    20181120MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94850           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95140           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94830           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94850           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94830           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZT24080           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94850           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94850           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ94850           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20181120MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20181120MB1B                9I3    
