8190           8190VAW0540           SX518191FSTK000000020.000                    20181212MB1B                9P1    
8190           8190VAZ3000           SX518191FSTK000000040.000                    20181212MB1B                9P1    
8190           8190ZT43760           FL518190FL91000000040.000                    20181212MB1B                9I4    
8190           8190ZJ2997B           CL518190CLB9000000020.000                    20181212MB1B                9I4    
8190           8190ZU10790           FL518190FL91000000003.000                    20181212MB1B                9I4    
8190           8190ZY13600           VN518190VN91000000050.000                    20181212MB1B                9I4    
8190           8190ZU11650           FL518190FL91000000001.000                    20181212MB1B                9I4    
8190           8190ZU22730           FL518190FL91000000001.000                    20181212MB1B                9I4    
8190           8190ZU02340           FL518190FL91000000011.000                    20181212MB1B                9I4    
8190           8190ZU06190           FL518190FL91000000010.000                    20181212MB1B                9I4    
8190           8190ZT43820           FL518190FL91000000030.000                    20181212MB1B                9I4    
8190           8190ZJ2999B           CL518190CLB9000000020.000                    20181212MB1B                9I4    
8190           8190ZU02400           FL518190FL91000000010.000                    20181212MB1B                9I4    
8190           8190ZR23750           CL218190CL51000000020.000                    20181212MB1B                9I4    
8190           8190ZR23750           CL218190CL51000000020.000                    20181212MB1B                9I4    
8190           8190ZT43980           FL518190FL91000000030.000                    20181212MB1B                9I4    
8190           8190ZR23750           CL218190CL51000000020.000                    20181212MB1B                9I4    
8190           8190WF9814E           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9813F           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZK38110           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZK38110           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190WF9464P           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9464P           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9216B           SX518190SX91000000020.000                    20181212MB1B                9I3    
8190           8190WF9216B           SX518190SX91000000020.000                    20181212MB1B                9I3    
8190           8190WK0460A           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WK0460A           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9464P           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9464P           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9464P           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9464P           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9464P           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9813F           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9813F           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9813F           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9813F           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9813F           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9813F           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190WF9813F           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190W938310           SX518190SX91000000015.000                    20181212MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZR12000           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZR12000           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZR12000           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZU06190           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZR12000           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190VAR2940           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZR12000           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZU06190           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190VAR9970           CL518190CL91000000030.000                    20181212MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06040           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06040           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06090           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06090           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
