8190           8190AAD7562           PN918191FSTK000000150.000                    20190116MB1B                9P1    
8190           8190ZZ42800           SX518190SX91000000007.000                    20190117MB1B                9I4    
8190           8190ZZ42680           SX518190SX91000000002.000                    20190117MB1B                9I4    
8190           8190ZZ42800           SX518190SX91000000010.000                    20190116MB1B                9I4    
8190           8190ZY89280           SX518190SX91000000002.000                    20190110MB1B                9I4    
8190           8190ZZ42840           SX518190SX91000000003.000                    20190114MB1B                9I4    
8190           8190ZY89280           SX518190SX91000000005.000                    20190110MB1B                9I4    
8190           8190ZU49300           FLA08190FL21000000040.000                    20190117MB1B                9I4    
8190           8190ZZ42840           SX518190SX91000000001.000                    20190116MB1B                9I4    
8190           8190ZZ42800           SX518190SX91000000023.000                    20190110MB1B                9I4    
8190           8190ZQ94890           SX518190SX91000000025.000                    20190117MB1B                9I4    
8190           8190ZY89280           SX518190SX91000000006.000                    20190116MB1B                9I4    
8190           8190ZP63020           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZU02370           FL218190FL51000000005.000                    20190117MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP64770           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP64740           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZU02370           FL218190FL51000000005.000                    20190117MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190117MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190117MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP64240           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP64240           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20190117MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20190117MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20190117MB1B                9I3    
8190           8190ZP62190           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62190           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62190           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP61530           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190117MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190117MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61530           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190ZY13520           VNA08190CL51000000120.000                    20190117MB1B                9I3    
8190           8190ZY13520           VNA08190SX51000000120.000                    20190117MB1B                9I3    
8190           8190ZZ42800           SX518190SX91000000010.000                    20190115MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190115MB1B                9I3    
8190           8190ZZ42800           SX518190SX91000000010.000                    20190116MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20190116MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190117MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190116MB1B                9I3    
8190           8190ZS06150           SX518190SX91000000015.000                    20190116MB1B                9I3    
8190           8190ZS06150           SX518190SX91000000015.000                    20190116MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190W935040           SXT98190SX91000000100.000                    20190117MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190117MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    
8190           8190ZZ42800           SX518190SX91000000010.000                    20190115MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190115MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20190116MB1B                9I3    
8190           8190ZR45070           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20190117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20190117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20190117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20190117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20190117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20190117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20190117MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20190117MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZU11680           FL218190FL51000000005.000                    20190117MB1B                9I3    
8190           8190ZU11680           FL218190FL51000000005.000                    20190117MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZY84660           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190111MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    
8190           8190ZY89280           SX518190SX91000000010.000                    20190116MB1B                9I3    
8190           8190ZS06150           SX518190SX91000000015.000                    20190112MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190117MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190117MB1B                9I3    
8190           8190ZS06150           SX518190SX91000000015.000                    20190112MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190116MB1B                9I3    
8190           8190ZY89280           SX518190SX91000000010.000                    20190116MB1B                9I3    
8190           8190ZY85610           SXA08190SX21000000010.000                    20190117MB1B                9I3    
8190           8190ZY85610           SXA08190SX21000000010.000                    20190117MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20190116MB1B                9I3    
8190           8190ZS06150           SX518190SX91000000015.000                    20190116MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190111MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190110MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190110MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZP64910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61760           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP61880           CLA08190CL21000000040.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190117MB1B                9I3    
