8190           8190ZS98360           FL918191FSTK000000060.000                    20190402MB1B                9P1    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190402MB1B                9I4    
8190           8190ZP67350           SXA08190SX21000000030.000                    20190402MB1B                9I4    
8190           8190ZP64470           SXA08190SX21000000024.000                    20190401MB1B                9I4    
8190           8190WZ91340           SX518190SX91000000008.000                    20190402MB1B                9I4    
8190           8190ZC7290A           SX518190SX91000000002.000                    20190402MB1B                9I4    
8190           8190WZ91100           SX518190SX91000000007.000                    20190402MB1B                9I4    
8190           8190ZU49280           FLA08190FL21000000040.000                    20190402MB1B                9I4    
8190           8190ZP62440           CLA08190CL91000000120.000                    20190402MB1B                9I4    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190402MB1B                9I4    
8190           8190ZU49280           FLA08190FL21000000040.000                    20190402MB1B                9I4    
8190           8190ZU49280           FLA08190FL21000000040.000                    20190402MB1B                9I4    
8190           8190ZP63540           FLA08190FL21000000040.000                    20190402MB1B                9I4    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I4    
8190           8190ZP63180           FLA08190FL21000000040.000                    20190402MB1B                9I4    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I4    
8190           8190ZE22630           FLA28190FL21000000030.000                    20190402MB1B                9I4    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I4    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I4    
8190           8190ZP63180           FLA08190FL21000000040.000                    20190402MB1B                9I4    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I4    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I4    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I4    
8190           8190ZE22570           FLA28190FL21000000030.000                    20190402MB1B                9I4    
8190           8190ZP67460           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZP66940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP66940           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20190402MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP67390           SXA08190SX21000000030.000                    20190402MB1B                9I3    
